date,total_infected,total_recovered,total_deaths,active_cases,infected,new_hospitalized,hospitalized,hospitalized_without_release,hard_status,medium_status,easy_status,respirated,deaths,total_beds,standard_occupancy,num_visits,patients_home,patients_hotel,recovered,test_results,positive_test_results,test_results_virus_diagnosis,percent_positive_change_percent,doubling_rate_days,critical_status
2020-02-12 00:00:00+00:00,0,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,
2020-02-13 00:00:00+00:00,0,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,
2020-02-14 00:00:00+00:00,0,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,
2020-02-15 00:00:00+00:00,0,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,
2020-02-16 00:00:00+00:00,0,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,
2020-02-17 00:00:00+00:00,0,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,
2020-02-18 00:00:00+00:00,0,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,
2020-02-19 00:00:00+00:00,0,0,0,0,0,,,,,,,,,,,,,,0,,,,0,,
2020-02-20 00:00:00+00:00,0,0,0,0,0,,,,,,,,,,,,,,0,29,0,29,0,,
2020-02-21 00:00:00+00:00,1,0,0,1,1,,,,,,,,,,,,,,0,28,1,28,0,,
2020-02-22 00:00:00+00:00,1,0,0,1,0,,,,,,,,,,,,,,0,13,0,13,0,,
2020-02-23 00:00:00+00:00,1,0,0,1,0,,,,,,,,,,,,,,0,56,0,56,0,,
2020-02-24 00:00:00+00:00,2,0,0,2,1,,,,,,,,,,,,,,0,75,1,74,100,1,
2020-02-25 00:00:00+00:00,2,0,0,2,0,,,,,,,,,,,,,,0,108,0,108,0,,
2020-02-26 00:00:00+00:00,2,0,0,2,0,,,,,,,,,,,,,,0,108,0,108,0,,
2020-02-27 00:00:00+00:00,3,0,0,3,1,,,,,,,,,,,,,,0,171,1,171,50,1.709511291351455,
2020-02-28 00:00:00+00:00,6,0,0,6,3,,,,,,,,,,,,,,0,118,3,118,66.66666666666667,1.356915448856724,
2020-02-29 00:00:00+00:00,6,0,0,6,0,,,,,,,,,,,,,,0,158,0,158,0,,
2020-03-01 00:00:00+00:00,7,0,0,7,1,,,,,,,,,,,,,,0,187,1,178,20,3.801784016923927,
2020-03-02 00:00:00+00:00,12,0,0,12,5,3,10,10,0,0,10,0,0,3445,0.002902757619738752,5429,-268,0,0,171,5,170,66.66666666666667,1.356915448856724,0
2020-03-03 00:00:00+00:00,15,0,0,15,3,0,10,10,0,0,10,0,0,3445,0.002902757619738752,7589,-265,0,0,235,3,227,30,2.641926795811142,0
2020-03-04 00:00:00+00:00,15,0,0,15,0,3,12,11,0,0,12,0,0,3445,0.003483309143686502,6755,-266,0,0,129,0,128,0,,0
2020-03-05 00:00:00+00:00,17,0,0,17,2,2,13,13,1,0,12,0,0,3445,0.003773584905660377,6836,-266,0,0,173,2,165,7.692307692307687,9.353206684999492,0
2020-03-06 00:00:00+00:00,21,0,0,21,4,3,16,16,2,0,14,1,0,3445,0.004644412191582003,4978,-265,0,0,274,4,274,7.14285714285714,10.04664924971331,0
2020-03-07 00:00:00+00:00,25,0,0,25,4,3,20,20,3,0,17,2,0,3445,0.005805515239477504,4682,-265,0,0,336,4,324,26.66666666666668,2.932233865905457,0
2020-03-08 00:00:00+00:00,34,0,0,34,9,8,27,27,5,0,22,4,0,3445,0.00783744557329463,7075,-263,0,0,421,9,417,42.10526315789474,1.972542256293411,0
2020-03-09 00:00:00+00:00,38,0,0,38,4,16,41,41,5,0,36,4,0,3445,0.01190130624092888,6009,-273,0,0,518,4,515,-3.703703703703698,-18.36622036975889,0
2020-03-10 00:00:00+00:00,71,0,0,71,33,19,61,61,6,0,55,5,0,3445,0.01770682148040639,5803,-260,0,0,520,33,495,115.3846153846154,0.9034115679880246,0
2020-03-11 00:00:00+00:00,90,0,0,90,19,25,84,83,7,1,76,6,0,3445,0.02438316400580552,5719,-263,0,0,401,19,376,33.928571428571416,2.372683193398745,0
2020-03-12 00:00:00+00:00,112,0,0,112,22,23,107,105,7,1,99,6,0,3445,0.03105950653120464,5769,-263,0,0,607,22,594,26.66666666666668,2.932233865905457,0
